counter	SMILES (prior)	SMILES (after) round trip:
7	CCc1c([C@@H]2CC=C(C=C2)C)c(cc2c1ccc1c2c(O)c(cc1O)C)C(=O)O	CCc1c(C2CC=C(C=C2)C)c(cc2c1ccc1c2c(O)c(cc1O)C)C(=O)O
8	C=CCc1ncc(c(c1)/C=C\C(=CCc1ccc2c(c1)nc([nH]2)N)OC)C	C=CCc1ncc(c(c1)C=CC(=CCc1ccc2c(c1)nc([nH]2)N)OC)C
9	O=C(Nc1cccc(c1)C(=Cc1ccccc1)Cl)NC(=O)OC(=O)[C@@H]([C@@H](C(=O)O)N)O	O=C(Nc1cccc(c1)C(=Cc1ccccc1)Cl)NC(=O)OC(=O)C(C(C(=O)O)N)O
10	CO[C@@H]1C=CCc2c1c1[nH]c3c(n1c2)cccc3CCCC(=O)NC(=O)C(CC(=O)O)(C)C	COC1C=CCc2c1c1[nH]c3c(n1c2)cccc3CCCC(=O)NC(=O)C(CC(=O)O)(C)C
11	OC(=O)C[C@@H](CCOc1c(O)ccc2c1c1c(o2)c(CC(=O)O)cc2c1cccc2)O	OC(=O)CC(CCOc1c(O)ccc2c1c1c(o2)c(CC(=O)O)cc2c1cccc2)O
12	CC[C@@H](c1cc(O)c(c2c1cc(o2)C)O)c1c(O)ccc(c1C(=O)O)O	CCC(c1cc(O)c(c2c1cc(o2)C)O)c1c(O)ccc(c1C(=O)O)O
13	c1ccc2c(c1)Cc1c([C@H]2c2[nH]ccc2)nc[nH]1	c1ccc2c(c1)Cc1c(C2c2[nH]ccc2)nc[nH]1
14	CCCOc1c(cc2c(c1Cc1ccccc1C)[C@@H](C=CC2)C(=O)O)C(=O)O	CCCOc1c(cc2c(c1Cc1ccccc1C)C(C=CC2)C(=O)O)C(=O)O
19	O[C@@H](C(=O)O)C(=O)OC(=O)CC(=O)Nc1nnc[nH]1	OC(C(=O)O)C(=O)OC(=O)CC(=O)Nc1nnc[nH]1
20	Fc1cc(C)c(cc1C1=C[C@@H](O)c2c(C1)ccc1c2c(Cl)c[nH]1)NC(C)(C)C	Fc1cc(C)c(cc1C1=CC(O)c2c(C1)ccc1c2c(Cl)c[nH]1)NC(C)(C)C
21	COc1cc(NC(=O)NC[C@H](CC(=O)O)O)c2c(c1)c(O)ccc2	COc1cc(NC(=O)NCC(CC(=O)O)O)c2c(c1)c(O)ccc2
22	O=C(Oc1ccc(c2c1c1=C3CC=CC[C@H]3C=c1cc2O)C(=O)O)Nc1ccccc1O	O=C(Oc1ccc(c2c1c1=C3CC=CCC3C=c1cc2O)C(=O)O)Nc1ccccc1O
24	COc1cc(CCC(=O)O)c2c(c1)c(C(=O)O)c(cc2)[C@H](C=C([C@@H](C(C)C)C)CCCC(=O)O)O	COc1cc(CCC(=O)O)c2c(c1)c(C(=O)O)c(cc2)C(C=C(C(C(C)C)C)CCCC(=O)O)O
27	CCOC(=O)CNC(=O)[C@H]1C[C@H](NC(=O)OP(=O)(O)O)[C@H]([C@@H](C1)C(=O)O)C(=O)O	CCOC(=O)CNC(=O)C1CC(NC(=O)OP(=O)(O)O)C(C(C1)C(=O)O)C(=O)O
28	C/C=C(\C[C@H](C(=O)O)Cc1cc(cc2c1c1c(C)coc1cc2)C(=O)O)/O/C=C/C(=O)O	CC=C(CC(C(=O)O)Cc1cc(cc2c1c1c(C)coc1cc2)C(=O)O)OC=CC(=O)O
30	OCC1=C2C=C[C@H]([C@H](C2=C[C@H](C1)c1cccc(c1CC)CC)O)NCCCC(=O)O	OCC1=C2C=CC(C(C2=CC(C1)c1cccc(c1CC)CC)O)NCCCC(=O)O
33	CC[C@H]1CCc2c(C1)cc(c(c2O)C(=O)O)[C@H]1CC(=O)c2c(C1)ccc(c2C(=O)O)C(C)C	CCC1CCc2c(C1)cc(c(c2O)C(=O)O)C1CC(=O)c2c(C1)ccc(c2C(=O)O)C(C)C
35	OC(=O)C[C@@H]1C=C[C@H]([C@@H]2[C@H]1c1c([C@@H]([C@H]2O)O)cc(c2c1ccc(c2CC(=O)O)O)O)O	OC(=O)CC1C=CC(C2C1c1c(C(C2O)O)cc(c2c1ccc(c2CC(=O)O)O)O)O
36	OC(=O)/C=C/CCCC(=O)[C@@H]1C=CC(=O)C(=C1)CC1=C(Cl)Cc2c(C1)c1[C@@H](O)CC[C@@H](c1cc2)F	OC(=O)C=CCCCC(=O)C1C=CC(=O)C(=C1)CC1=C(Cl)Cc2c(C1)c1C(O)CCC(c1cc2)F
41	OC[C@@H](c1cc(CC)c(cc1CCCC(=O)O)CC)COC(=O)NC(=O)c1ccccc1	OCC(c1cc(CC)c(cc1CCCC(=O)O)CC)COC(=O)NC(=O)c1ccccc1
43	CO[C@@H]1C=C[C@@H](c2c1c([C@@H](CCC(C)C)C)c(c(n2)O)CC)OC	COC1C=CC(c2c1c(C(CCC(C)C)C)c(c(n2)O)CC)OC
47	CCN[C@H]([C@@H]1[C@H](OC)C=CCC1=CC)COCc1c(O)c(O)c(c(c1F)OC)C(=O)O	CCNC(C1C(OC)C=CCC1=CC)COCc1c(O)c(O)c(c(c1F)OC)C(=O)O
48	OC(=O)CC(=O)OC(=O)[C@@H](CN[C@@H]1CCc2c3c1cccc3ccc2)N	OC(=O)CC(=O)OC(=O)C(CNC1CCc2c3c1cccc3ccc2)N
49	CCCCCCCc1c(F)cc(cc1CN/C=C\C=O)NC=C	CCCCCCCc1c(F)cc(cc1CNC=CC=O)NC=C
51	COC1=C(F)C=C(C(=N[C@@H](c2cc3CC=C[C@@H](c3c(c2)C(=O)O)C(=O)O)O)C1)CC(=O)O	COC1=C(F)C=C(C(=NC(c2cc3CC=CC(c3c(c2)C(=O)O)C(=O)O)O)C1)CC(=O)O
53	CCCCC(=O)O[P@@](=O)(Oc1ccc(nc1)O)O	CCCCC(=O)OP(=O)(Oc1ccc(nc1)O)O
57	C=C[C@@H](c1coc2c1cc(C)c(c2)C)NC(=O)NS(=O)(=O)c1c(OC)ccc(c1I)Cl	C=CC(c1coc2c1cc(C)c(c2)C)NC(=O)NS(=O)(=O)c1c(OC)ccc(c1I)Cl
58	N#CC1=C(O)C2=C(CC(=O)O)Cc3c([C@@H]2C=C1)c(ccc3)Oc1cc2ccccc2c(c1O)F	N#CC1=C(O)C2=C(CC(=O)O)Cc3c(C2C=C1)c(ccc3)Oc1cc2ccccc2c(c1O)F
60	OC(=O)CNC1=C(C[C@@H](C[C@@H]1Cl)CCC(c1ccccc1)(C)C)C(=O)O	OC(=O)CNC1=C(CC(CC1Cl)CCC(c1ccccc1)(C)C)C(=O)O
61	CCCCNc1ccc(cc1C/C=C\CCCC(=O)O)OC	CCCCNc1ccc(cc1CC=CCCCC(=O)O)OC
62	CC(CN(C1=C[C@H]2C=C[C@@H](c3c2c(C1)c(C)c(c3)O)C)C(=O)O)C	CC(CN(C1=CC2C=CC(c3c2c(C1)c(C)c(c3)O)C)C(=O)O)C
63	OC[C@@]1(C=C[C@@H](c2c1cccc2)C)C1=CC[C@H]2[C@@H]3[C@@H]1C(=C[C@H]([C@@H]3C[C@H](C2)C)C)F	OCC1(C=CC(c2c1cccc2)C)C1=CCC2C3C1C(=CC(C3CC(C2)C)C)F
64	CCNC(=O)N[C@@H](C(=O)O)/C=C/c1ncc2c(c1O)CC=C1[C@H]2C=C(Cl)C=C1	CCNC(=O)NC(C(=O)O)C=Cc1ncc2c(c1O)CC=C1C2C=C(Cl)C=C1
66	CC1=C[C@@H](Oc2ccccc2)c2c(C1)cccc2C(=O)O	CC1=CC(Oc2ccccc2)c2c(C1)cccc2C(=O)O
68	CC([C@@H]([C@H](c1c2CCCCc2cc2c1cccc2)O)C)C	CC(C(C(c1c2CCCCc2cc2c1cccc2)O)C)C
69	C=C/C(=C\c1cc(O)c2c(c1)cc1c(c2)c(c[nH]1)CC)/Cl	C=CC(=Cc1cc(O)c2c(c1)cc1c(c2)c(c[nH]1)CC)Cl
70	COCCCC(=O)/C=C/C(=O)c1cccc2c1C1=CCc3c([C@@H]1CC2)c(C)c(cc3)F	COCCCC(=O)C=CC(=O)c1cccc2c1C1=CCc3c(C1CC2)c(C)c(cc3)F
71	NC[C@@H]1CCCc2c1c(C)cc1c2c(NC)ccc1	NCC1CCCc2c1c(C)cc1c2c(NC)ccc1
72	OC(=O)CC[C@@H](c1ccc(cc1C)F)Nc1c(N)cccc1C(=O)O	OC(=O)CCC(c1ccc(cc1C)F)Nc1c(N)cccc1C(=O)O
73	N#C[C@@H](c1c(O)ccc2c1cc(O)cc2)C(=O)O	N#CC(c1c(O)ccc2c1cc(O)cc2)C(=O)O
74	CCCOc1ccc2c3c1[C@@H](O)C=C([C@@H]3C=C[C@@H]2Oc1cccc(c1)CO)O	CCCOc1ccc2c3c1C(O)C=C(C3C=CC2Oc1cccc(c1)CO)O
75	Oc1ccc(cn1)C[C@H](c1c(O)ccc(c1O)O)C	Oc1ccc(cn1)CC(c1c(O)ccc(c1O)O)C
76	CCOc1[nH]c(c(c1[C@H](CCC(=O)CC(=O)O)O)c1cc(/C=C/[N+](=O)[O-])cc(c1OC)Cl)O	CCOc1[nH]c(c(c1C(CCC(=O)CC(=O)O)O)c1cc(C=CN(=O)=O)cc(c1OC)Cl)O
77	CCC[C@@H]([C@H]1C(=CCc2c1cc(cc2)C(c1cccc(c1)O)(C(=O)O)C(=O)O)CC(F)(F)F)C	CCCC(C1C(=CCc2c1cc(cc2)C(c1cccc(c1)O)(C(=O)O)C(=O)O)CC(F)(F)F)C
78	O=C[C@@H]1C=C[C@@H](c2c1ccc(c2C/C=C/NC(=O)O)Nc1c(O)cccc1C(=O)O)O	O=CC1C=CC(c2c1ccc(c2CC=CNC(=O)O)Nc1c(O)cccc1C(=O)O)O
79	CCOc1c(Oc2cccc(c2)C(=O)O)c2C=C[C@@H](c3c2c(c1OCc1ccc(s1)C)ccc3)O	CCOc1c(Oc2cccc(c2)C(=O)O)c2C=CC(c3c2c(c1OCc1ccc(s1)C)ccc3)O
82	Cc1cc(/C=C\2/CC(=O)C(=CC2=O)C)c(c(c1)C)O	Cc1cc(C=C2CC(=O)C(=CC2=O)C)c(c(c1)C)O
83	N#C[C@@H]1C(=C[C@H](c2c1c(O)[nH]c2c1c2ccc(cc2cc2c1c(ccc2)C(=O)O)[N+](=O)[O-])O)O	N#CC1C(=CC(c2c1c(O)[nH]c2c1c2ccc(cc2cc2c1c(ccc2)C(=O)O)N(=O)=O)O)O
85	CC[C@H](C(c1cc(CCC(=O)O)c2c(c1)cccc2)(C)C)C[C@H](CCCC(=O)O)C	CCC(C(c1cc(CCC(=O)O)c2c(c1)cccc2)(C)C)CC(CCCC(=O)O)C
86	O=CNC(=O)[C@@H](C(=O)[C@H]1C=C2C=CC=C[C@H]2c2c1c(O)[nH]c2)C(=O)O	O=CNC(=O)C(C(=O)C1C=C2C=CC=CC2c2c1c(O)[nH]c2)C(=O)O
87	COC(=O)[C@@H](C(=O)c1ccc(cc1C(=O)O)N)C(=O)NC(C)(C)C	COC(=O)C(C(=O)c1ccc(cc1C(=O)O)N)C(=O)NC(C)(C)C
90	CCCCNC(=O)OC(=C(C(=NOCc1ccccc1C(C)(C)C)C)C)/C=C/C	CCCCNC(=O)OC(=C(C(=NOCc1ccccc1C(C)(C)C)C)C)C=CC
92	FCC(=O)N(S(=O)(=O)C)C(=O)OC(=O)c1ccc(c2c1ccc(c2/C=C/C(=O)O)O)OC	FCC(=O)N(S(=O)(=O)C)C(=O)OC(=O)c1ccc(c2c1ccc(c2C=CC(=O)O)O)OC
94	CC[C@@H]1C=C[C@@H](c2c1c(cc(c2)C(=O)O)C(=O)O)C	CCC1C=CC(c2c1c(cc(c2)C(=O)O)C(=O)O)C
96	COc1cc(cc2c1[C@H]1NC(=C(CC1=CC2)C(=O)O)O)[C@]([C@H](CC(C)C)O)(C(C)C)O	COc1cc(cc2c1C1NC(=C(CC1=CC2)C(=O)O)O)C(C(CC(C)C)O)(C(C)C)O
97	N#CC1=C(O)C=CC2=CC(=O)c3c([C@H]12)cccc3OC(=O)c1ccccc1	N#CC1=C(O)C=CC2=CC(=O)c3c(C12)cccc3OC(=O)c1ccccc1
98	COC(=O)c1cc(COc2cccc(c2)C)cc(c1)/C=C\c1cocc1C(=O)O	COC(=O)c1cc(COc2cccc(c2)C)cc(c1)C=Cc1cocc1C(=O)O

END
