counter	SMILES (prior)	SMILES (after) round trip:
1	CCOc1cccc2c1cc(O)c1c2c(CCC(=O)C)co1	CCOc1cccc2c1cc(O)c1c2c(CCC(=O)C)co1
2	CCCCCC(=O)N(c1c(NC(=O)N)c(Cl)cc(c1O)Br)C=O	CCCCCC(=O)N(c1c(NC(=O)N)c(Cl)cc(c1O)Br)C=O
3	CCc1cc(C(=O)CC(=O)OC(=O)CC(=O)O)c(cc1C(C(=O)O)C(=O)O)OC(=O)C	CCc1cc(C(=O)CC(=O)OC(=O)CC(=O)O)c(cc1C(C(=O)O)C(=O)O)OC(=O)C
4	N#Cc1cc(O)cc2c1c(C(=O)OC(=O)c1c(O)cc3c(c1O)c(O)ccc3)c(cc2)O	N#Cc1cc(O)cc2c1c(C(=O)OC(=O)c1c(O)cc3c(c1O)c(O)ccc3)c(cc2)O
5	O=CCC(=O)Nc1c(C(=O)O)c(F)c2c(c1OC)c(O)c(cc2)Cl	O=CCC(=O)Nc1c(C(=O)O)c(F)c2c(c1OC)c(O)c(cc2)Cl
6	Oc1cc(C(=O)O)c2c(c1)c(O)cc1c2c(cc2c1cccc2)C(=O)O	Oc1cc(C(=O)O)c2c(c1)c(O)cc1c2c(cc2c1cccc2)C(=O)O
15	CNC(=O)N(c1cccc(c1)C(=O)OC(=O)Cc1c(Cl)cccc1c1cccc(c1)O)CC	CNC(=O)N(c1cccc(c1)C(=O)OC(=O)Cc1c(Cl)cccc1c1cccc(c1)O)CC
16	OC(=O)CCc1c[nH]c(c1CC(=O)O)c1c(O)c2ccccc2c2c1cc(O)cc2	OC(=O)CCc1c[nH]c(c1CC(=O)O)c1c(O)c2ccccc2c2c1cc(O)cc2
17	FC(=C)c1c(O)c(O)ccc1c1ccc2c(c1O)c(C)cnc2O	FC(=C)c1c(O)c(O)ccc1c1ccc2c(c1O)c(C)cnc2O
18	OC(=O)CCCCCC(=O)OC(=O)CS(=O)(=O)c1occ(c1)C(=O)N	OC(=O)CCCCCC(=O)OC(=O)CS(=O)(=O)c1occ(c1)C(=O)N
23	CC(=C)Nc1cc(Oc2ccccc2)c2c(c1)cccc2C	CC(=C)Nc1cc(Oc2ccccc2)c2c(c1)cccc2C
25	COc1c2[nH]c(cc2c(c2c1cccc2N)N)C(=O)O	COc1c2[nH]c(cc2c(c2c1cccc2N)N)C(=O)O
26	CCOC(=O)c1cccc(n1)c1c(CC(=CCC(=O)O)C(=O)O)oc2c1cccc2	CCOC(=O)c1cccc(n1)c1c(CC(=CCC(=O)O)C(=O)O)oc2c1cccc2
29	CCc1cc2c(n1c1ccc3c(c1)occ3)c(C)c(cc2)O	CCc1cc2c(n1c1ccc3c(c1)occ3)c(C)c(cc2)O
31	O=CNc1cc(OC)c2c(c1)c1ccccc1[nH]2	O=CNc1cc(OC)c2c(c1)c1ccccc1[nH]2
32	CCCNC(=O)OC(=O)CCNc1ccc2c(c1)ccc1c2[nH]cc1	CCCNC(=O)OC(=O)CCNc1ccc2c(c1)ccc1c2[nH]cc1
34	O=C(OC(=O)c1ccnc2c1cccc2)CCc1cccc2c1c(Cl)ccc2O	O=C(OC(=O)c1ccnc2c1cccc2)CCc1cccc2c1c(Cl)ccc2O
37	COc1cc(CCC(=O)O)ccc1c1c(N)cccc1C(=O)O	COc1cc(CCC(=O)O)ccc1c1c(N)cccc1C(=O)O
38	O=C(OC(=O)C)CCCCc1csc(n1)Cc1ccccc1C(N)N	O=C(OC(=O)C)CCCCc1csc(n1)Cc1ccccc1C(N)N
39	OC(=O)CCc1c([nH]c2c1c(C)cc(c2)O)C(=O)NC(=O)CC(=O)O	OC(=O)CCc1c([nH]c2c1c(C)cc(c2)O)C(=O)NC(=O)CC(=O)O
40	OC(=O)c1cc(CCS(=O)(=O)O)cc2c1c(ccc2)Cc1cc([nH]c1Br)O	OC(=O)c1cc(CCS(=O)(=O)O)cc2c1c(ccc2)Cc1cc([nH]c1Br)O
42	COc1c(OC)ccc(c1C(=Cc1cc(O)ccc1C(=O)O)C(=O)O)N	COc1c(OC)ccc(c1C(=Cc1cc(O)ccc1C(=O)O)C(=O)O)N
44	C=Cc1cccc2c1c(C)cc(c2c1ccc(cc1)C(=O)O)F	C=Cc1cccc2c1c(C)cc(c2c1ccc(cc1)C(=O)O)F
45	CCCCCCCOc1c(OCCCCCC(=O)O)cc(c2c1[nH]c1c2cccc1C(=O)O)C(=O)O	CCCCCCCOc1c(OCCCCCC(=O)O)cc(c2c1[nH]c1c2cccc1C(=O)O)C(=O)O
46	CC1=CCc2c(C1)c(c(c1c2ccc(c1)O)O)c1c(O)cc(c2c1c(C)no2)O	CC1=CCc2c(C1)c(c(c1c2ccc(c1)O)O)c1c(O)cc(c2c1c(C)no2)O
50	Oc1cc(cc(c1)C(=O)O)c1cccc2c1CC=CC2	Oc1cc(cc(c1)C(=O)O)c1cccc2c1CC=CC2
52	COc1ccc2c(c1)Cc1c(C2)c(ccc1)OC(=O)CC(=O)CCC(=O)O	COc1ccc2c(c1)Cc1c(C2)c(ccc1)OC(=O)CC(=O)CCC(=O)O
54	CCC(=O)NC(=C1COC(=O)C=C1)c1cc(O)cc(c1)O	CCC(=O)NC(=C1COC(=O)C=C1)c1cc(O)cc(c1)O
55	OCc1ccc(c2c1c(ccc2)Cc1ccco1)C	OCc1ccc(c2c1c(ccc2)Cc1ccco1)C
56	OC(=O)CS(=O)(=O)c1c(c(Br)cc2c1cccn2)n1cncc1C	OC(=O)CS(=O)(=O)c1c(c(Br)cc2c1cccn2)n1cncc1C
59	OC(=O)CCC(=O)OC(=O)NS(=O)(=O)OC(=O)CC(=O)O	OC(=O)CCC(=O)OC(=O)NS(=O)(=O)OC(=O)CC(=O)O
65	CCc1cc(C)c(c2c1cc1c(CCC(=O)O)cc(cc1c2)c1c(C)n[nH]c1C)O	CCc1cc(C)c(c2c1cc1c(CCC(=O)O)cc(cc1c2)c1c(C)n[nH]c1C)O
67	O=Cc1c(O)c2ccc(cc2c(c1S(=O)(=O)NC(=O)OC(=O)CCC(=O)O)C(C)(C)C)c1ccc[nH]1	O=Cc1c(O)c2ccc(cc2c(c1S(=O)(=O)NC(=O)OC(=O)CCC(=O)O)C(C)(C)C)c1ccc[nH]1
80	CCCN(C(=CCC(=O)NC(=O)CC(=O)c1ccc(cc1)C(C)C)OC)CC	CCCN(C(=CCC(=O)NC(=O)CC(=O)c1ccc(cc1)C(C)C)OC)CC
81	COc1ccc2c(c1Oc1ccccc1)cc1c(c2n2cccc2O)[nH]cc1	COc1ccc2c(c1Oc1ccccc1)cc1c(c2n2cccc2O)[nH]cc1
84	Ic1cc(cc2c1cccc2)C(c1ccccc1)(F)F	Ic1cc(cc2c1cccc2)C(c1ccccc1)(F)F
88	CCCCC(=O)OC(=O)c1cccc2c1c(O)c(cc2)F	CCCCC(=O)OC(=O)c1cccc2c1c(O)c(cc2)F
89	CCCCOc1c(ccc2c1c(N)ccc2CC)C(=O)O	CCCCOc1c(ccc2c1c(N)ccc2CC)C(=O)O
91	COC(=Cc1ccc(cc1)C(=O)O)c1cccc(c1)COC(=O)C	COC(=Cc1ccc(cc1)C(=O)O)c1cccc(c1)COC(=O)C
93	C=CNc1cccc(c1)C(c1[nH]cc2c1c(O)ccc2)(C)C	C=CNc1cccc(c1)C(c1[nH]cc2c1c(O)ccc2)(C)C
95	CCCNCC(=O)Oc1cc(C(=O)NC(=O)CC(=O)O)c(c(c1F)O)C(=O)NCCC=O	CCCNCC(=O)Oc1cc(C(=O)NC(=O)CC(=O)O)c(c(c1F)O)C(=O)NCCC=O
99	CNC(=C(C(=O)OC(=O)c1ccccc1)Nc1ccc2c(c1Cl)c(ccc2)CC(=C)C)O	CNC(=C(C(=O)OC(=O)c1ccccc1)Nc1ccc2c(c1Cl)c(ccc2)CC(=C)C)O
100	COc1ccccc1c1cc(CCC2CCCCC2)cc2c1c1ccccc1c(c2)C(=O)O	COc1ccccc1c1cc(CCC2CCCCC2)cc2c1c1ccccc1c(c2)C(=O)O
END
