SMILES (prior)	SMILES (after) round trip:
1	CCC(C)(C)c1c[nH]c2c(O)ccc(NC[C@@](C)(CC)CCCC(=O)O)c12	CCC(C)(CCCC(=O)O)CNc1ccc(O)c2[nH]cc(C(C)(C)CC)c12
5	CCCOC(=O)c1ccc(/C=C2/C=C(C(N)=O)c3cc[nH]c3C2)c2cccc(C)c12	CCCOC(=O)c1ccc(C=C2C=C(C(N)=O)c3cc[nH]c3C2)c2cccc(C)c12
7	CC(=CC(=O)N=c1[nH]nn[nH]1)/C=C\c1cccc(Oc2ccc3cc[nH]c3c2Cl)c1	CC(C=Cc1cccc(Oc2ccc3cc[nH]c3c2Cl)c1)=CC(=O)N=c1[nH]nn[nH]1
9	O=C(O)C(C(=O)O)[C@@H]1C=C[C@H](O)c2ccc3c(c21)CC=CC3	O=C(O)C(C(=O)O)C1C=CC(O)c2ccc3c(c21)CC=CC3
10	CCOC(=O)[C@@H](NC(O)=NS(=O)(=O)c1ccc(CO)cc1)c1ccccc1	CCOC(=O)C(NC(O)=NS(=O)(=O)c1ccc(CO)cc1)c1ccccc1
11	COC(C(=O)c1ccc(C)cc1O)=C(C)C(=O)/N=C(\N)Nc1ccccn1	COC(C(=O)c1ccc(C)cc1O)=C(C)C(=O)N=C(N)Nc1ccccn1
13	O=C1C=C(O)C(=O)C(CCc2cccc3c2C[C@H](NS(=O)(=O)O)CC3)=C1	O=C1C=C(O)C(=O)C(CCc2cccc3c2CC(NS(=O)(=O)O)CC3)=C1
14	CCCC1=C(F)[C@@H](Cl)c2c(cc(C)c3c2CC=CC3)C1	CCCC1=C(F)C(Cl)c2c(cc(C)c3c2CC=CC3)C1
15	C/C=C1/C(=O)C=CC(=O)[C@H]1c1ccc2c(c1O)[C@@H](O)C1=C(CCCC1)C2	CC=C1C(=O)C=CC(=O)C1c1ccc2c(c1O)C(O)C1=C(CCCC1)C2
16	COC1=CCc2c(CC(=O)O)cc3c(c2N1C)[C@H](C)C=C1C=C(C(=O)O)C[C@@H]13	COC1=CCc2c(CC(=O)O)cc3c(c2N1C)C(C)C=C1C=C(C(=O)O)CC13
17	CCOC(=O)[C@@H](C(=O)O)c1cc(C)[nH]c1CCC(=O)c1cc2[nH]ccc2c(F)c1F	CCOC(=O)C(C(=O)O)c1cc(C)[nH]c1CCC(=O)c1cc2[nH]ccc2c(F)c1F
18	C=C/N=C\NN(Cc1cc(OC)c(C(=O)NCC)[nH]1)c1ccc(Cl)nc1N	C=CN=CNN(Cc1cc(OC)c(C(=O)NCC)[nH]1)c1ccc(Cl)nc1N
20	CCC[C@@H]1C(O)=C[C@@H](O)c2c([C@H](O)CCO)cc3c(C(=O)O)cccc3c21	CCCC1C(O)=CC(O)c2c(C(O)CCO)cc3c(C(=O)O)cccc3c21
21	C=C/C=C\[C@@H](C)c1c([C@@H](C)O)c(O)c2cccc(-c3c(O)n[nH]c3C)c2c1O	C=CC=CC(C)c1c(C(C)O)c(O)c2cccc(-c3c(O)n[nH]c3C)c2c1O
22	CCc1ccc2c3c(cc(O)c2c1)CC(C(=O)O)=C(CC(=O)O)[C@@H]3Cl	CCc1ccc2c3c(cc(O)c2c1)CC(C(=O)O)=C(CC(=O)O)C3Cl
24	C/C=N\[C@@H]1C(O)=C[C@@H](OC)c2cc3c(cc21)CC=C(C)C3	CC=NC1C(O)=CC(OC)c2cc3c(cc21)CC=C(C)C3
25	CCC(=O)CC[C@H](OC)C(C)(C)c1ccc2cc(OC)cc3c2c1CCC3	CCC(=O)CCC(OC)C(C)(C)c1ccc2cc(OC)cc3c2c1CCC3
27	COc1c(C(=O)O)cccc1[C@H](C=C1CC(=O)C(C)=CC1=O)/C=C\CC(=O)O	COc1c(C(=O)O)cccc1C(C=CCC(=O)O)C=C1CC(=O)C(C)=CC1=O
29	CCCCN(C[C@H](C)O)C(=O)OC(=O)C/C=C\C(=O)O	CCCCN(CC(C)O)C(=O)OC(=O)CC=CC(=O)O
31	COC1=C[C@@H](/C(=N\C/C=C\c2cc(-c3cc(C)co3)ccc2C)C(=O)O)c2ccccc2C1=O	COC1=CC(C(=NCC=Cc2cc(-c3cc(C)co3)ccc2C)C(=O)O)c2ccccc2C1=O
32	CCCCCOc1cc(NC(O)=CC[C@@H](O)C(=O)O)nc2cc(O)cc(C(=O)O)c12	CCCCCOc1cc(NC(O)=CCC(O)C(=O)O)nc2cc(O)cc(C(=O)O)c12
33	CCOc1cc2c3c(c1O)[C@@H](C)C=C(C)[C@@H]3C=CC2	CCOc1cc2c3c(c1O)C(C)C=C(C)C3C=CC2
34	CCCCC[C@](C(=O)O)(c1ccccc1)c1cccc(CC(=O)O)c1	CCCCCC(C(=O)O)(c1ccccc1)c1cccc(CC(=O)O)c1
36	COC1=CC=C(Cl)[C@@H]2C1=C(O)[C@@H](OC)c1c2[nH]c(O)c1C(N)=O	COC1=CC=C(Cl)C2C1=C(O)C(OC)c1c2[nH]c(O)c1C(N)=O
38	CCCCCC(=O)n1cnc(=O)c(CO)c1NC(=O)[C@]1(O)CC[C@H](O)C[C@H]1N	CCCCCC(=O)n1cnc(=O)c(CO)c1NC(=O)C1(O)CCC(O)CC1N
39	C[C@H](CN)N(CCCC(=O)O)Cc1cccc(O)c1CCC(=O)O	CC(CN)N(CCCC(=O)O)Cc1cccc(O)c1CCC(=O)O
40	COc1ccc2c(c1)[C@@H]1CC=C(CCO)CC1=CC2	COc1ccc2c(c1)C1CC=C(CCO)CC1=CC2
