SMILES (prior)	SMILES (after) round trip:
2	O=C(O)CC(=O)NC(=O)CC(=O)Nc1c(O)[nH]c(O)c1C(=O)OC(=O)c1c(O)cc(Cl)cc1Cl	O=C(O)CC(=O)NC(=O)CC(=O)Nc1c(O)[nH]c(O)c1C(=O)OC(=O)c1c(O)cc(Cl)cc1Cl
3	O=C(CCC1=CC=CCC1)CCc1ccccc1	O=C(CCC1=CC=CCC1)CCc1ccccc1
4	C=C(Cl)Sc1cc(Oc2c(OC)ccc(CC)c2CC)c2c(ccc3c(C)coc32)c1	C=C(Cl)Sc1cc(Oc2c(OC)ccc(CC)c2CC)c2c(ccc3c(C)coc32)c1
6	COc1ccccc1CCC(=O)OC(=O)CC(=O)NS(=O)(=O)c1ccc2c(ccn2C(C)=O)c1	COc1ccccc1CCC(=O)OC(=O)CC(=O)NS(=O)(=O)c1ccc2c(ccn2C(C)=O)c1
8	CCCCOC(=CNC(=O)c1cc(Cl)cc(OC)c1)Nc1cc(C#N)c(OC)cc1C(C)(C)C	CCCCOC(=CNC(=O)c1cc(Cl)cc(OC)c1)Nc1cc(C#N)c(OC)cc1C(C)(C)C
12	CS(=O)(=O)c1c(O)cc(F)c(C(=O)O)c1S(=O)(=O)CNC(N)=O	CS(=O)(=O)c1c(O)cc(F)c(C(=O)O)c1S(=O)(=O)CNC(N)=O
19	C=Cc1ccc(I)c(-c2cccc(O)c2C(=O)N=C(O)CC(C)C)c1	C=Cc1ccc(I)c(-c2cccc(O)c2C(=O)N=C(O)CC(C)C)c1
23	COc1cc2ccc(Cl)cc2c(C(=O)NS(=O)(=O)CC(=O)O)c1OC	COc1cc2ccc(Cl)cc2c(C(=O)NS(=O)(=O)CC(=O)O)c1OC
26	O=C(O)c1cc2c(F)ccc(O)c2c2ccccc12	O=C(O)c1cc2c(F)ccc(O)c2c2ccccc12
28	Cn1ccc(CC(=O)Oc2c[nH]c3cc4[nH]c5cc(NCC(=O)O)cc(F)c5c4c(Cl)c23)c1	Cn1ccc(CC(=O)Oc2c[nH]c3cc4[nH]c5cc(NCC(=O)O)cc(F)c5c4c(Cl)c23)c1
30	Cc1[nH]c(C(=O)O)c(C)c1S(=O)(=O)N(C(=O)CC(=O)O)C(=O)c1ccc2cc(N)ccc2c1	Cc1[nH]c(C(=O)O)c(C)c1S(=O)(=O)N(C(=O)CC(=O)O)C(=O)c1ccc2cc(N)ccc2c1
35	C=CCc1[nH]c2cc(CC)c3cc(Cl)c(CC(=O)O)cc3c2c1CCOC(C)=O	C=CCc1[nH]c2cc(CC)c3cc(Cl)c(CC(=O)O)cc3c2c1CCOC(C)=O
37	Cc1nc(O)c(C(N)=O)c(CO)c1-c1cc(COc2ccccc2)c(O)c2c1CC=C(C(N)=O)C2	Cc1nc(O)c(C(N)=O)c(CO)c1-c1cc(COc2ccccc2)c(O)c2c1CC=C(C(N)=O)C2
41	CC1=CNc2ccc(C(C)(C)C)c(C(C)(C)C)c2C1	CC1=CNc2ccc(C(C)(C)C)c(C(C)(C)C)c2C1
42	O=C(OC1CCCCC1)c1ccnc2c(Cl)cccc12	O=C(OC1CCCCC1)c1ccnc2c(Cl)cccc12
43	CN(c1cc(O)nc(O)c1)c1cccc2cc3c(ccc4c(O)c5ccccc5nc43)cc12	CN(c1cc(O)nc(O)c1)c1cccc2cc3c(ccc4c(O)c5ccccc5nc43)cc12
44	CCNC(C(=O)O)=C(COC)N(c1ccc(NS(=O)(=O)O)cc1)S(=O)(=O)O	CCNC(C(=O)O)=C(COC)N(c1ccc(NS(=O)(=O)O)cc1)S(=O)(=O)O
45	CCc1c(Oc2ccc3ccccc3c2)c(C(C)(C)CCO)c2ccccc2c1CC	CCc1c(Oc2ccc3ccccc3c2)c(C(C)(C)CCO)c2ccccc2c1CC
49	C=C(c1cc2ccc(O)c(C(=O)O)c2[nH]1)c1c(O)c(CC(=O)O)cc2[nH]ccc12	C=C(c1cc2ccc(O)c(C(=O)O)c2[nH]1)c1c(O)c(CC(=O)O)cc2[nH]ccc12
52	COc1[nH]c(Nc2c(O)cc(O)cc2-c2c(CC(=O)O)cc(O)c3ccccc23)cc1CCC(=O)O	COc1[nH]c(Nc2c(O)cc(O)cc2-c2c(CC(=O)O)cc(O)c3ccccc23)cc1CCC(=O)O
55	CCc1[nH]c(-c2c(-c3ccccc3Cl)[nH]c(O)c2C(=O)O)cc1CCF	CCc1[nH]c(-c2c(-c3ccccc3Cl)[nH]c(O)c2C(=O)O)cc1CCF
56	COc1cc(O)c(C(=O)NC(=O)CC=O)c2cc(C(=O)O)c3cc[nH]c3c12	COc1cc(O)c(C(=O)NC(=O)CC=O)c2cc(C(=O)O)c3cc[nH]c3c12
57	COc1cc(C(=O)O)c2c(Cl)c(CCC(=O)O)cc(C)c2c1	COc1cc(C(=O)O)c2c(Cl)c(CCC(=O)O)cc(C)c2c1
59	COc1cc(C)c2c(c1)c(CCC(=O)O)cc1c2c(=O)c(C(=O)c2c(C)cccc2O)c(C)n1C	COc1cc(C)c2c(c1)c(CCC(=O)O)cc1c2c(=O)c(C(=O)c2c(C)cccc2O)c(C)n1C
