counter	SMILES (prior)	SMILES (after) round trip:
1	CC[C@](CNc1ccc(c2c1c(c[nH]2)C(CC)(C)C)O)(CCCC(=O)O)C	CCC(CNc1ccc(c2c1c(c[nH]2)C(CC)(C)C)O)(CCCC(=O)O)C
5	CCCOC(=O)c1ccc(c2c1c(C)ccc2)/C=C\1/C=C(C(=O)N)c2c(C1)[nH]cc2	CCCOC(=O)c1ccc(c2c1c(C)ccc2)C=C1C=C(C(=O)N)c2c(C1)[nH]cc2
7	CC(=CC(=O)N=c1[nH]nn[nH]1)/C=C\c1cccc(c1)Oc1ccc2c(c1Cl)[nH]cc2	CC(=CC(=O)N=c1[nH]nn[nH]1)C=Cc1cccc(c1)Oc1ccc2c(c1Cl)[nH]cc2
9	OC(=O)C([C@@H]1C=C[C@@H](c2c1c1CC=CCc1cc2)O)C(=O)O	OC(=O)C(C1C=CC(c2c1c1CC=CCc1cc2)O)C(=O)O
10	CCOC(=O)[C@H](c1ccccc1)NC(=NS(=O)(=O)c1ccc(cc1)CO)O	CCOC(=O)C(c1ccccc1)NC(=NS(=O)(=O)c1ccc(cc1)CO)O
11	COC(=C(C(=O)/N=C(/Nc1ccccn1)\N)C)C(=O)c1ccc(cc1O)C	COC(=C(C(=O)N=C(Nc1ccccn1)N)C)C(=O)c1ccc(cc1O)C
13	O=C1C=C(CCc2cccc3c2C[C@@H](CC3)NS(=O)(=O)O)C(=O)C(=C1)O	O=C1C=C(CCc2cccc3c2CC(CC3)NS(=O)(=O)O)C(=O)C(=C1)O
14	CCCC1=C(F)[C@H](c2c(C1)cc(C)c1c2CC=CC1)Cl	CCCC1=C(F)C(c2c(C1)cc(C)c1c2CC=CC1)Cl
15	C/C=C\1/C(=O)C=CC(=O)[C@H]1c1ccc2c(c1O)[C@@H](O)C1=C(C2)CCCC1	CC=C1C(=O)C=CC(=O)C1c1ccc2c(c1O)C(O)C1=C(C2)CCCC1
16	COC1=CCc2c(N1C)c1[C@H](C)C=C3[C@@H](c1cc2CC(=O)O)CC(=C3)C(=O)O	COC1=CCc2c(N1C)c1C(C)C=C3C(c1cc2CC(=O)O)CC(=C3)C(=O)O
17	CCOC(=O)[C@H](c1cc([nH]c1CCC(=O)c1cc2[nH]ccc2c(c1F)F)C)C(=O)O	CCOC(=O)C(c1cc([nH]c1CCC(=O)c1cc2[nH]ccc2c(c1F)F)C)C(=O)O
18	CCNC(=O)c1[nH]c(cc1OC)CN(c1ccc(nc1N)Cl)N/C=N\C=C	CCNC(=O)c1[nH]c(cc1OC)CN(c1ccc(nc1N)Cl)NC=NC=C
20	CCC[C@@H]1C(=C[C@H](c2c1c1cccc(c1cc2[C@@H](CCO)O)C(=O)O)O)O	CCCC1C(=CC(c2c1c1cccc(c1cc2C(CCO)O)C(=O)O)O)O
21	C=C/C=C\[C@H](c1c([C@H](O)C)c(O)c2c(c1O)c(ccc2)c1c(C)[nH]nc1O)C	C=CC=CC(c1c(C(O)C)c(O)c2c(c1O)c(ccc2)c1c(C)[nH]nc1O)C
22	CCc1ccc2c(c1)c(O)cc1c2[C@@H](Cl)C(=C(C1)C(=O)O)CC(=O)O	CCc1ccc2c(c1)c(O)cc1c2C(Cl)C(=C(C1)C(=O)O)CC(=O)O
24	CO[C@@H]1C=C(O)[C@H](c2c1cc1CC(=CCc1c2)C)/N=C\C	COC1C=C(O)C(c2c1cc1CC(=CCc1c2)C)N=CC
25	CO[C@H](C(c1ccc2c3c1CCCc3cc(c2)OC)(C)C)CCC(=O)CC	COC(C(c1ccc2c3c1CCCc3cc(c2)OC)(C)C)CCC(=O)CC
27	COc1c(cccc1C(=O)O)[C@H](C=C1CC(=O)C(=CC1=O)C)/C=C\CC(=O)O	COc1c(cccc1C(=O)O)C(C=C1CC(=O)C(=CC1=O)C)C=CCC(=O)O
29	CCCCN(C(=O)OC(=O)C/C=C\C(=O)O)C[C@@H](O)C	CCCCN(C(=O)OC(=O)CC=CC(=O)O)CC(O)C
31	COC1=C[C@@H](/C(=N\C/C=C\c2cc(ccc2C)c2occ(c2)C)/C(=O)O)c2c(C1=O)cccc2	COC1=CC(C(=NCC=Cc2cc(ccc2C)c2occ(c2)C)C(=O)O)c2c(C1=O)cccc2
