counter	SMILES (prior)	SMILES (after) round trip:
2	O=C(CC(=O)Nc1c(O)[nH]c(c1C(=O)OC(=O)c1c(O)cc(cc1Cl)Cl)O)NC(=O)CC(=O)O	O=C(CC(=O)Nc1c(O)[nH]c(c1C(=O)OC(=O)c1c(O)cc(cc1Cl)Cl)O)NC(=O)CC(=O)O
3	O=C(CCc1ccccc1)CCC1=CC=CCC1	O=C(CCc1ccccc1)CCC1=CC=CCC1
4	CCc1c(CC)ccc(c1Oc1cc(SC(=C)Cl)cc2c1c1occ(c1cc2)C)OC	CCc1c(CC)ccc(c1Oc1cc(SC(=C)Cl)cc2c1c1occ(c1cc2)C)OC
6	COc1ccccc1CCC(=O)OC(=O)CC(=O)NS(=O)(=O)c1ccc2c(c1)ccn2C(=O)C	COc1ccccc1CCC(=O)OC(=O)CC(=O)NS(=O)(=O)c1ccc2c(c1)ccn2C(=O)C
8	CCCCOC(=CNC(=O)c1cc(Cl)cc(c1)OC)Nc1cc(C#N)c(cc1C(C)(C)C)OC	CCCCOC(=CNC(=O)c1cc(Cl)cc(c1)OC)Nc1cc(C#N)c(cc1C(C)(C)C)OC
12	NC(=O)NCS(=O)(=O)c1c(C(=O)O)c(F)cc(c1S(=O)(=O)C)O	NC(=O)NCS(=O)(=O)c1c(C(=O)O)c(F)cc(c1S(=O)(=O)C)O
19	C=Cc1ccc(c(c1)c1cccc(c1C(=O)N=C(CC(C)C)O)O)I	C=Cc1ccc(c(c1)c1cccc(c1C(=O)N=C(CC(C)C)O)O)I
23	COc1c(OC)cc2c(c1C(=O)NS(=O)(=O)CC(=O)O)cc(cc2)Cl	COc1c(OC)cc2c(c1C(=O)NS(=O)(=O)CC(=O)O)cc(cc2)Cl
26	OC(=O)c1cc2c(F)ccc(c2c2c1cccc2)O	OC(=O)c1cc2c(F)ccc(c2c2c1cccc2)O
28	OC(=O)CNc1cc(F)c2c(c1)[nH]c1c2c(Cl)c2c(c1)[nH]cc2OC(=O)Cc1ccn(c1)C	OC(=O)CNc1cc(F)c2c(c1)[nH]c1c2c(Cl)c2c(c1)[nH]cc2OC(=O)Cc1ccn(c1)C
30	OC(=O)CC(=O)N(S(=O)(=O)c1c(C)[nH]c(c1C)C(=O)O)C(=O)c1ccc2c(c1)ccc(c2)N	OC(=O)CC(=O)N(S(=O)(=O)c1c(C)[nH]c(c1C)C(=O)O)C(=O)c1ccc2c(c1)ccc(c2)N
35	C=CCc1[nH]c2c(c1CCOC(=O)C)c1cc(CC(=O)O)c(cc1c(c2)CC)Cl	C=CCc1[nH]c2c(c1CCOC(=O)C)c1cc(CC(=O)O)c(cc1c(c2)CC)Cl
37	OCc1c(c(C)nc(c1C(=O)N)O)c1cc(COc2ccccc2)c(c2c1CC=C(C2)C(=O)N)O	OCc1c(c(C)nc(c1C(=O)N)O)c1cc(COc2ccccc2)c(c2c1CC=C(C2)C(=O)N)O
41	CC1=CNc2c(C1)c(c(cc2)C(C)(C)C)C(C)(C)C	CC1=CNc2c(C1)c(c(cc2)C(C)(C)C)C(C)(C)C
42	O=C(c1ccnc2c1cccc2Cl)OC1CCCCC1	O=C(c1ccnc2c1cccc2Cl)OC1CCCCC1
