successful round trips
counter	primary InChI	secondary InChI
4	InChI=1/C15H12O5/c16-13-6-5-10(15(19)20)7-12(13)11-4-2-1-3-9(11)8-14(17)18/h1-7,16H,8H2,(H,17,18)(H,19,20)/f/h17,19H	InChI=1/C15H12O5/c16-13-6-5-10(15(19)20)7-12(13)11-4-2-1-3-9(11)8-14(17)18/h1-7,16H,8H2,(H,17,18)(H,19,20)/f/h17,19H
5	InChI=1/C20H19F2NO5S/c21-20(22,17-11-15(25)9-13-4-5-14(24)10-16(13)17)7-1-2-12-3-6-18(23)19(8-12)29(26,27)28/h3-6,8-11,24-25H,1-2,7,23H2,(H,26,27,28)/f/h26H	InChI=1/C20H19F2NO5S/c21-20(22,17-11-15(25)9-13-4-5-14(24)10-16(13)17)7-1-2-12-3-6-18(23)19(8-12)29(26,27)28/h3-6,8-11,24-25H,1-2,7,23H2,(H,26,27,28)/f/h26H
10	InChI=1/C24H19N3O7/c1-11(28)26-24(33)27-16-5-3-4-12-8-14-10-18(23(31)32)34-21(14)20(19(12)16)15-7-6-13(22(29)30)9-17(15)25-2/h3-10,25H,1-2H3,(H,29,30)(H,31,32)(H2,26,27,28,33)/f/h26-27,29,31H	InChI=1/C24H19N3O7/c1-11(28)26-24(33)27-16-5-3-4-12-8-14-10-18(23(31)32)34-21(14)20(19(12)16)15-7-6-13(22(29)30)9-17(15)25-2/h3-10,25H,1-2H3,(H,29,30)(H,31,32)(H2,26,27,28,33)/f/h26-27,29,31H
17	InChI=1/C9H7FN2O6/c10-5-3(12-9(11)18)1-2(7(14)15)6(13)4(5)8(16)17/h1,13H,(H,14,15)(H,16,17)(H3,11,12,18)/f/h12,14,16H,11H2	InChI=1/C9H7FN2O6/c10-5-3(12-9(11)18)1-2(7(14)15)6(13)4(5)8(16)17/h1,13H,(H,14,15)(H,16,17)(H3,11,12,18)/f/h12,14,16H,11H2
19	InChI=1/C14H13NO5/c15-14(20)8-2-1-7(11(17)4-8)3-10-12(18)5-9(16)6-13(10)19/h1-2,4-6,16-19H,3H2,(H2,15,20)/f/h15H2	InChI=1/C14H13NO5/c15-14(20)8-2-1-7(11(17)4-8)3-10-12(18)5-9(16)6-13(10)19/h1-2,4-6,16-19H,3H2,(H2,15,20)/f/h15H2
20	InChI=1/C13H8ClF2NO7/c1-3-6(13(23)24)7(8(14)10(16)9(3)15)12(22)17-11(21)4(18)2-5(19)20/h2H2,1H3,(H,19,20)(H,23,24)(H,17,21,22)/f/h17,19,23H	InChI=1/C13H8ClF2NO7/c1-3-6(13(23)24)7(8(14)10(16)9(3)15)12(22)17-11(21)4(18)2-5(19)20/h2H2,1H3,(H,19,20)(H,23,24)(H,17,21,22)/f/h17,19,23H
21	InChI=1/C14H18O5/c1-3-7-19-10-6-5-9(4-2)11(8-10)12(13(15)16)14(17)18/h5-6,8,12H,3-4,7H2,1-2H3,(H,15,16)(H,17,18)/f/h15,17H	InChI=1/C14H18O5/c1-3-7-19-10-6-5-9(4-2)11(8-10)12(13(15)16)14(17)18/h5-6,8,12H,3-4,7H2,1-2H3,(H,15,16)(H,17,18)/f/h15,17H
22	InChI=1/C14H12O4/c15-8-9-2-1-3-10(6-9)12-7-11(14(17)18)4-5-13(12)16/h1-7,15-16H,8H2,(H,17,18)/f/h17H	InChI=1/C14H12O4/c15-8-9-2-1-3-10(6-9)12-7-11(14(17)18)4-5-13(12)16/h1-7,15-16H,8H2,(H,17,18)/f/h17H
23	InChI=1/C18H16O2/c1-2-7-15-13-9-4-3-8-12(13)14-10-5-6-11-16(14)17(15)18(19)20/h2-6,8-9H,1,7,10-11H2,(H,19,20)/f/h19H	InChI=1/C18H16O2/c1-2-7-15-13-9-4-3-8-12(13)14-10-5-6-11-16(14)17(15)18(19)20/h2-6,8-9H,1,7,10-11H2,(H,19,20)/f/h19H
24	InChI=1/C15H14Cl3N/c1-15(2,10-3-4-13(17)14(18)8-10)11-5-6-19-12(7-11)9-16/h3-8H,9H2,1-2H3	InChI=1/C15H14Cl3N/c1-15(2,10-3-4-13(17)14(18)8-10)11-5-6-19-12(7-11)9-16/h3-8H,9H2,1-2H3
27	InChI=1/C15H12O4/c1-10(17)19-15(18)14-7-3-5-12-11(8-9-16)4-2-6-13(12)14/h2-7,9H,8H2,1H3	InChI=1/C15H12O4/c1-10(17)19-15(18)14-7-3-5-12-11(8-9-16)4-2-6-13(12)14/h2-7,9H,8H2,1H3
29	InChI=1/C18H16ClNO8/c19-16-9-2-1-3-13(21)11(9)8-12(17(25)26)10(16)4-5-15(24)28-18(27)20-7-6-14(22)23/h1-3,8,21H,4-7H2,(H,20,27)(H,22,23)(H,25,26)/f/h20,22,25H	InChI=1/C18H16ClNO8/c19-16-9-2-1-3-13(21)11(9)8-12(17(25)26)10(16)4-5-15(24)28-18(27)20-7-6-14(22)23/h1-3,8,21H,4-7H2,(H,20,27)(H,22,23)(H,25,26)/f/h20,22,25H
32	InChI=1/C16H13FO5/c1-22-8-9-2-3-14(20)15(13(9)7-18)16(21)10-4-11(17)6-12(19)5-10/h2-7,19-20H,8H2,1H3	InChI=1/C16H13FO5/c1-22-8-9-2-3-14(20)15(13(9)7-18)16(21)10-4-11(17)6-12(19)5-10/h2-7,19-20H,8H2,1H3
35	InChI=1/C20H23O5P/c1-3-6-14-7-5-8-16-19(14)13(4-2)11-17-15(12-25-26(22,23)24)9-10-18(21)20(16)17/h5,7-11,21H,3-4,6,12H2,1-2H3,(H2,22,23,24)/f/h22-23H	InChI=1/C20H23O5P/c1-3-6-14-7-5-8-16-19(14)13(4-2)11-17-15(12-25-26(22,23)24)9-10-18(21)20(16)17/h5,7-11,21H,3-4,6,12H2,1-2H3,(H2,22,23,24)/f/h22-23H
36	InChI=1/C15H20O5/c1-3-4-5-6-14(17)20-15(18)10-11-9-12(16)7-8-13(11)19-2/h7-9,16H,3-6,10H2,1-2H3	InChI=1/C15H20O5/c1-3-4-5-6-14(17)20-15(18)10-11-9-12(16)7-8-13(11)19-2/h7-9,16H,3-6,10H2,1-2H3
38	InChI=1/C18H19NO4/c1-22-15-7-6-13-8-11-4-2-3-5-12(11)9-14(13)18(15)23-17(21)10-16(19)20/h6-9H,2-5,10H2,1H3,(H2,19,20)/f/h19H2	InChI=1/C18H19NO4/c1-22-15-7-6-13-8-11-4-2-3-5-12(11)9-14(13)18(15)23-17(21)10-16(19)20/h6-9H,2-5,10H2,1H3,(H2,19,20)/f/h19H2
40	InChI=1/C9H5Cl2NO5S2/c10-4-1-3-2-5(11)18-8(3)7(6(4)9(13)14)12-19(15,16)17/h1-2,12H,(H,13,14)(H,15,16,17)/f/h13,15H	InChI=1/C9H5Cl2NO5S2/c10-4-1-3-2-5(11)18-8(3)7(6(4)9(13)14)12-19(15,16)17/h1-2,12H,(H,13,14)(H,15,16,17)/f/h13,15H
42	InChI=1/C15H18NO7PS/c1-3-16-15-12(21-2)8-6-9-13(15)23-24(17,18)22-11-7-4-5-10-14(11)25(19)20/h4-10,16H,3H2,1-2H3,(H,17,18)(H,19,20)/f/h17,19H	InChI=1/C15H18NO7PS/c1-3-16-15-12(21-2)8-6-9-13(15)23-24(17,18)22-11-7-4-5-10-14(11)25(19)20/h4-10,16H,3H2,1-2H3,(H,17,18)(H,19,20)/f/h17,19H
44	InChI=1/C22H17NO11/c1-33-14-8-12(20(27)28)9-15(34-18(21(29)30)22(31)32)17(14)23-13(6-7-16(23)24)10-2-4-11(5-3-10)19(25)26/h2-9,18,24H,1H3,(H,25,26)(H,27,28)(H,29,30)(H,31,32)/f/h25,27,29,31H	InChI=1/C22H17NO11/c1-33-14-8-12(20(27)28)9-15(34-18(21(29)30)22(31)32)17(14)23-13(6-7-16(23)24)10-2-4-11(5-3-10)19(25)26/h2-9,18,24H,1H3,(H,25,26)(H,27,28)(H,29,30)(H,31,32)/f/h25,27,29,31H
46	InChI=1/C18H15ClN2O7/c1-7-14-10(4-11(19)6-12(14)17(26)28-9(3)23)5-13(24)15(7)16(25)21-18(27)20-8(2)22/h4-6,24H,1-3H3,(H2,20,21,22,25,27)/f/h20-21H	InChI=1/C18H15ClN2O7/c1-7-14-10(4-11(19)6-12(14)17(26)28-9(3)23)5-13(24)15(7)16(25)21-18(27)20-8(2)22/h4-6,24H,1-3H3,(H2,20,21,22,25,27)/f/h20-21H
53	InChI=1/C16H15ClFNO3/c1-19-13-5-2-6-14(16(13)21)22-15-9-10(18)8-12(17)11(15)4-3-7-20/h2,5-9,19,21H,3-4H2,1H3	InChI=1/C16H15ClFNO3/c1-19-13-5-2-6-14(16(13)21)22-15-9-10(18)8-12(17)11(15)4-3-7-20/h2,5-9,19,21H,3-4H2,1H3
54	InChI=1/C16H13FO6/c1-8-3-5-11(18)13(17)14(8)23-12-6-4-9(15(19)20)7-10(12)16(21)22-2/h3-7,18H,1-2H3,(H,19,20)/f/h19H	InChI=1/C16H13FO6/c1-8-3-5-11(18)13(17)14(8)23-12-6-4-9(15(19)20)7-10(12)16(21)22-2/h3-7,18H,1-2H3,(H,19,20)/f/h19H
56	InChI=1/C14H13ClN2O5S/c1-6(2)17-4-3-7-10(15)13(23(20,21)22)11-8(12(7)17)5-9(16-11)14(18)19/h3-6,16H,1-2H3,(H,18,19)(H,20,21,22)/f/h18,20H	InChI=1/C14H13ClN2O5S/c1-6(2)17-4-3-7-10(15)13(23(20,21)22)11-8(12(7)17)5-9(16-11)14(18)19/h3-6,16H,1-2H3,(H,18,19)(H,20,21,22)/f/h18,20H
58	InChI=1/C18H14FIO3/c1-9(21)17-12-6-15(20)16(22)7-11(12)13(8-23-2)10-4-3-5-14(19)18(10)17/h3-7,22H,8H2,1-2H3	InChI=1/C18H14FIO3/c1-9(21)17-12-6-15(20)16(22)7-11(12)13(8-23-2)10-4-3-5-14(19)18(10)17/h3-7,22H,8H2,1-2H3
59	InChI=1/C15H17N3O7/c1-2-18(6-10-16-12(15(24)25)13(21)17-10)5-7-3-8(19)4-9(20)11(7)14(22)23/h3-4,19-21H,2,5-6H2,1H3,(H,16,17)(H,22,23)(H,24,25)/f/h17,22,24H	InChI=1/C15H17N3O7/c1-2-18(6-10-16-12(15(24)25)13(21)17-10)5-7-3-8(19)4-9(20)11(7)14(22)23/h3-4,19-21H,2,5-6H2,1H3,(H,16,17)(H,22,23)(H,24,25)/f/h17,22,24H
60	InChI=1/C23H24O4/c1-5-27-23(25)18-11-17-16(12(2)3)10-13-6-9-19(24)14-7-8-15(22(18)26-4)21(17)20(13)14/h6,8-10,12,24H,5,7,11H2,1-4H3	InChI=1/C23H24O4/c1-5-27-23(25)18-11-17-16(12(2)3)10-13-6-9-19(24)14-7-8-15(22(18)26-4)21(17)20(13)14/h6,8-10,12,24H,5,7,11H2,1-4H3
61	InChI=1/C21H13FO4/c1-9-16-17-12-8-11(22)4-2-10(12)3-7-15(17)26-21(16)19-14(24)6-5-13(23)18(19)20(9)25/h2-8,23-25H,1H3	InChI=1/C21H13FO4/c1-9-16-17-12-8-11(22)4-2-10(12)3-7-15(17)26-21(16)19-14(24)6-5-13(23)18(19)20(9)25/h2-8,23-25H,1H3
62	InChI=1/C18H17NO6/c1-3-12-13(19)7-8-14(24-2)15(12)18(23)25-17(22)11-6-4-5-10(9-11)16(20)21/h4-9H,3,19H2,1-2H3,(H,20,21)/f/h20H	InChI=1/C18H17NO6/c1-3-12-13(19)7-8-14(24-2)15(12)18(23)25-17(22)11-6-4-5-10(9-11)16(20)21/h4-9H,3,19H2,1-2H3,(H,20,21)/f/h20H
68	InChI=1/C18H14N2O7/c19-7-10(21)5-16(22)27-18(24)26-15-8-25-14-4-9-2-1-3-11(17(20)23)12(9)6-13(14)15/h1-4,6,8H,5,7,19H2,(H2,20,23)/f/h20H2	InChI=1/C18H14N2O7/c19-7-10(21)5-16(22)27-18(24)26-15-8-25-14-4-9-2-1-3-11(17(20)23)12(9)6-13(14)15/h1-4,6,8H,5,7,19H2,(H2,20,23)/f/h20H2
70	InChI=1/C15H17NO6/c1-9(15(21)22)16-11-6-5-10(13(18)7-11)3-2-4-12(17)8-14(19)20/h5-7,16,18H,1-4,8H2,(H,19,20)(H,21,22)/f/h19,21H	InChI=1/C15H17NO6/c1-9(15(21)22)16-11-6-5-10(13(18)7-11)3-2-4-12(17)8-14(19)20/h5-7,16,18H,1-4,8H2,(H,19,20)(H,21,22)/f/h19,21H
74	InChI=1/C22H28N2S/c1-15(2)13-16-9-7-10-17(14-16)25-19-12-8-11-18-20(19)24(6)23-21(18)22(3,4)5/h7-12,14-15H,13H2,1-6H3	InChI=1/C22H28N2S/c1-15(2)13-16-9-7-10-17(14-16)25-19-12-8-11-18-20(19)24(6)23-21(18)22(3,4)5/h7-12,14-15H,13H2,1-6H3
78	InChI=1/C21H20O5/c1-2-3-11-26-21(25)20-16-8-7-13-5-4-6-14(12-18(23)24)19(13)15(16)9-10-17(20)22/h4-10,22H,2-3,11-12H2,1H3,(H,23,24)/f/h23H	InChI=1/C21H20O5/c1-2-3-11-26-21(25)20-16-8-7-13-5-4-6-14(12-18(23)24)19(13)15(16)9-10-17(20)22/h4-10,22H,2-3,11-12H2,1H3,(H,23,24)/f/h23H
79	InChI=1/C17H13NO2/c1-11-5-4-8-15(18-11)16-13-7-3-2-6-12(13)9-10-14(16)17(19)20/h2-10H,1H3,(H,19,20)/f/h19H	InChI=1/C17H13NO2/c1-11-5-4-8-15(18-11)16-13-7-3-2-6-12(13)9-10-14(16)17(19)20/h2-10H,1H3,(H,19,20)/f/h19H
80	InChI=1/C19H15IO7/c1-8(21)27-19(26)16-13(7-15(22)23)17(24)12-6-10-9(3-2-4-14(10)20)5-11(12)18(16)25/h2-4,24-25H,5-7H2,1H3,(H,22,23)/f/h22H	InChI=1/C19H15IO7/c1-8(21)27-19(26)16-13(7-15(22)23)17(24)12-6-10-9(3-2-4-14(10)20)5-11(12)18(16)25/h2-4,24-25H,5-7H2,1H3,(H,22,23)/f/h22H
81	InChI=1/C24H19FN2O4/c1-31-22-8-3-2-6-19(22)24(30)26-21-13-27(14-23(28)29)12-20(21)18-7-4-5-15-11-16(25)9-10-17(15)18/h2-13H,14H2,1H3,(H,26,30)(H,28,29)/f/h26,28H	InChI=1/C24H19FN2O4/c1-31-22-8-3-2-6-19(22)24(30)26-21-13-27(14-23(28)29)12-20(21)18-7-4-5-15-11-16(25)9-10-17(15)18/h2-13H,14H2,1H3,(H,26,30)(H,28,29)/f/h26,28H
85	InChI=1/C27H25NO6/c1-3-6-16-11-17(13-19(12-16)33-2)15-34-25-20-8-5-4-7-18(20)14-21(24(25)27(31)32)22-9-10-23(28-22)26(29)30/h4-5,7-14,28H,3,6,15H2,1-2H3,(H,29,30)(H,31,32)/f/h29,31H	InChI=1/C27H25NO6/c1-3-6-16-11-17(13-19(12-16)33-2)15-34-25-20-8-5-4-7-18(20)14-21(24(25)27(31)32)22-9-10-23(28-22)26(29)30/h4-5,7-14,28H,3,6,15H2,1-2H3,(H,29,30)(H,31,32)/f/h29,31H
93	InChI=1/C25H26O3/c1-4-17-18-7-5-6-8-19(18)20-12-10-15-9-11-16(25(2,3)14-26)13-21(15)22(20)23(17)24(27)28/h5-8,10-12,26H,4,9,13-14H2,1-3H3,(H,27,28)/f/h27H	InChI=1/C25H26O3/c1-4-17-18-7-5-6-8-19(18)20-12-10-15-9-11-16(25(2,3)14-26)13-21(15)22(20)23(17)24(27)28/h5-8,10-12,26H,4,9,13-14H2,1-3H3,(H,27,28)/f/h27H
97	InChI=1/C21H16ClFO4/c1-8-3-4-10-11(5-8)17-13(7-15(10)23)19(24)16-9(2)18(22)14(21(26)27)6-12(16)20(17)25/h3,6-7,24-25H,4-5H2,1-2H3,(H,26,27)/f/h26H	InChI=1/C21H16ClFO4/c1-8-3-4-10-11(5-8)17-13(7-15(10)23)19(24)16-9(2)18(22)14(21(26)27)6-12(16)20(17)25/h3,6-7,24-25H,4-5H2,1-2H3,(H,26,27)/f/h26H
98	InChI=1/C15H12ClNO3/c1-20-10-2-3-11-8(5-10)4-9(6-13(18)19)14-12(16)7-17-15(11)14/h2-5,7,17H,6H2,1H3,(H,18,19)/f/h18H	InChI=1/C15H12ClNO3/c1-20-10-2-3-11-8(5-10)4-9(6-13(18)19)14-12(16)7-17-15(11)14/h2-5,7,17H,6H2,1H3,(H,18,19)/f/h18H
102	InChI=1/C14H15N3O2/c1-8-12(16-14(18)19-3)11-10(17(8)2)5-4-9-6-7-15-13(9)11/h4-7,15H,1-3H3,(H,16,18)/f/h16H	InChI=1/C14H15N3O2/c1-8-12(16-14(18)19-3)11-10(17(8)2)5-4-9-6-7-15-13(9)11/h4-7,15H,1-3H3,(H,16,18)/f/h16H
106	InChI=1/C20H22FN3O5/c1-3-5-15(26)29-16(27)7-4-6-13-20(28)23-11(2)24(13)19-17(21)14(25)10-12-8-9-22-18(12)19/h8-10,22,25,28H,3-7H2,1-2H3	InChI=1/C20H22FN3O5/c1-3-5-15(26)29-16(27)7-4-6-13-20(28)23-11(2)24(13)19-17(21)14(25)10-12-8-9-22-18(12)19/h8-10,22,25,28H,3-7H2,1-2H3
112	InChI=1/C20H20NO6P/c1-27-18-8-4-7-15(17(23)11-28(25)26)19(18)21-20(24)16-10-13(22)9-12-5-2-3-6-14(12)16/h2-4,7-10,22,28H,5-6,11H2,1H3,(H,21,24)(H,25,26)/f/h21,25H	InChI=1/C20H20NO6P/c1-27-18-8-4-7-15(17(23)11-28(25)26)19(18)21-20(24)16-10-13(22)9-12-5-2-3-6-14(12)16/h2-4,7-10,22,28H,5-6,11H2,1H3,(H,21,24)(H,25,26)/f/h21,25H
114	InChI=1/C17H18O6S/c1-3-6-11-9-12(10-13(16(11)18)17(19)20)24(21,22)15-8-5-4-7-14(15)23-2/h4-5,7-10,18H,3,6H2,1-2H3,(H,19,20)/f/h19H	InChI=1/C17H18O6S/c1-3-6-11-9-12(10-13(16(11)18)17(19)20)24(21,22)15-8-5-4-7-14(15)23-2/h4-5,7-10,18H,3,6H2,1-2H3,(H,19,20)/f/h19H
119	InChI=1/C19H19ClO3/c1-3-11-5-4-6-12-14(9-21)18-13(19(23-2)17(11)12)7-8-16(20)15(18)10-22/h4-8,21-22H,3,9-10H2,1-2H3	InChI=1/C19H19ClO3/c1-3-11-5-4-6-12-14(9-21)18-13(19(23-2)17(11)12)7-8-16(20)15(18)10-22/h4-8,21-22H,3,9-10H2,1-2H3
121	InChI=1/C16H16N2O4/c1-20-13-8-14-11(3-4-22-14)16(21-2)12(13)6-9-5-10(19)7-15(17)18-9/h3-5,7-8H,6H2,1-2H3,(H3,17,18,19)/f/h19H,17H2	InChI=1/C16H16N2O4/c1-20-13-8-14-11(3-4-22-14)16(21-2)12(13)6-9-5-10(19)7-15(17)18-9/h3-5,7-8H,6H2,1-2H3,(H3,17,18,19)/f/h19H,17H2
122	InChI=1/C15H13NO4/c16-3-1-2-9-4-10-5-12(8-17)14(18)7-11(10)6-13(9)15(19)20/h4-7,17-18H,1-2,8H2,(H,19,20)/f/h19H	InChI=1/C15H13NO4/c16-3-1-2-9-4-10-5-12(8-17)14(18)7-11(10)6-13(9)15(19)20/h4-7,17-18H,1-2,8H2,(H,19,20)/f/h19H
128	InChI=1/C17H14N2O7/c1-25-13-7-5-12(6-8-13)18-16(23)19-17(24)26-15(22)11-4-2-3-10(9-11)14(20)21/h2-9H,1H3,(H,20,21)(H2,18,19,23,24)/f/h18-20H	InChI=1/C17H14N2O7/c1-25-13-7-5-12(6-8-13)18-16(23)19-17(24)26-15(22)11-4-2-3-10(9-11)14(20)21/h2-9H,1H3,(H,20,21)(H2,18,19,23,24)/f/h18-20H
130	InChI=1/C17H23NO5/c1-3-12-7-5-8-13(14(12)4-2)11-18-17(22)23-16(21)10-6-9-15(19)20/h5,7-8H,3-4,6,9-11H2,1-2H3,(H,18,22)(H,19,20)/f/h18-19H	InChI=1/C17H23NO5/c1-3-12-7-5-8-13(14(12)4-2)11-18-17(22)23-16(21)10-6-9-15(19)20/h5,7-8H,3-4,6,9-11H2,1-2H3,(H,18,22)(H,19,20)/f/h18-19H
134	InChI=1/C28H28O5/c1-5-21-17(2)18(3)28(31-4)27(25-14-19-10-7-9-13-24(19)33-25)22(21)16-32-23-12-8-6-11-20(23)15-26(29)30/h6-14H,5,15-16H2,1-4H3,(H,29,30)/f/h29H	InChI=1/C28H28O5/c1-5-21-17(2)18(3)28(31-4)27(25-14-19-10-7-9-13-24(19)33-25)22(21)16-32-23-12-8-6-11-20(23)15-26(29)30/h6-14H,5,15-16H2,1-4H3,(H,29,30)/f/h29H
135	InChI=1/C25H20O6S/c1-3-22(26)17-11-18-13-19(32(2,29)30)12-16-9-10-20(21(14-17)23(16)18)25(28)31-24(27)15-7-5-4-6-8-15/h4-11,13-14H,3,12H2,1-2H3	InChI=1/C25H20O6S/c1-3-22(26)17-11-18-13-19(32(2,29)30)12-16-9-10-20(21(14-17)23(16)18)25(28)31-24(27)15-7-5-4-6-8-15/h4-11,13-14H,3,12H2,1-2H3
139	InChI=1/C13H7Cl2NO5/c14-9-7-5-3(17)1-2-4(18)6(5)8(13(20)21)11(19)10(7)16-12(9)15/h1-2,16-19H,(H,20,21)/f/h20H	InChI=1/C13H7Cl2NO5/c14-9-7-5-3(17)1-2-4(18)6(5)8(13(20)21)11(19)10(7)16-12(9)15/h1-2,16-19H,(H,20,21)/f/h20H
141	InChI=1/C16H12O4S/c1-20-13-7-11(16(18)19)14(9-5-6-21-8-9)10-3-2-4-12(17)15(10)13/h2-8,17H,1H3,(H,18,19)/f/h18H	InChI=1/C16H12O4S/c1-20-13-7-11(16(18)19)14(9-5-6-21-8-9)10-3-2-4-12(17)15(10)13/h2-8,17H,1H3,(H,18,19)/f/h18H
142	InChI=1/C18H16O4/c19-16(15-9-5-2-6-10-15)13-18(21)22-17(20)12-11-14-7-3-1-4-8-14/h1-10H,11-13H2	InChI=1/C18H16O4/c19-16(15-9-5-2-6-10-15)13-18(21)22-17(20)12-11-14-7-3-1-4-8-14/h1-10H,11-13H2
144	InChI=1/C16H13NO6/c1-23-11-5-7(6-12(18)19)4-10-8-2-3-9(16(21)22)15(20)14(8)17-13(10)11/h2-5,17,20H,6H2,1H3,(H,18,19)(H,21,22)/f/h18,21H	InChI=1/C16H13NO6/c1-23-11-5-7(6-12(18)19)4-10-8-2-3-9(16(21)22)15(20)14(8)17-13(10)11/h2-5,17,20H,6H2,1H3,(H,18,19)(H,21,22)/f/h18,21H
146	InChI=1/C15H17NO4/c16-12-7-6-10-3-1-4-11(14(10)15(12)19)9-20-13(18)5-2-8-17/h1,3-4,6-7,17,19H,2,5,8-9,16H2	InChI=1/C15H17NO4/c16-12-7-6-10-3-1-4-11(14(10)15(12)19)9-20-13(18)5-2-8-17/h1,3-4,6-7,17,19H,2,5,8-9,16H2
147	InChI=1/C19H17FNO5P/c1-2-12-5-3-4-6-17(12)21-19-15-8-7-14(20)10-16(15)13(9-18(19)22)11-26-27(23,24)25/h2-10,21-22H,1,11H2,(H2,23,24,25)/f/h23-24H	InChI=1/C19H17FNO5P/c1-2-12-5-3-4-6-17(12)21-19-15-8-7-14(20)10-16(15)13(9-18(19)22)11-26-27(23,24)25/h2-10,21-22H,1,11H2,(H2,23,24,25)/f/h23-24H
